loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,o1,o2,o3,o4,o5,o6,o7
diadesorte,1,19/05/2018,False,03,05,08,09,19,21,30,03,09,05,30,08,19,21
diadesorte,2,22/05/2018,False,08,11,12,14,20,21,28,12,28,21,08,11,14,20
diadesorte,3,24/05/2018,False,11,12,21,24,25,28,29,11,25,28,12,21,29,24
diadesorte,4,26/05/2018,True,06,07,13,15,18,19,29,15,19,07,13,29,06,18
diadesorte,5,29/05/2018,True,02,08,09,17,19,24,28,02,08,09,17,24,19,28
diadesorte,6,02/06/2018,False,01,11,18,19,26,30,31,19,18,11,01,26,31,30
diadesorte,7,05/06/2018,False,02,05,06,14,20,24,25,25,06,02,05,24,14,20
diadesorte,8,07/06/2018,True,01,04,13,21,22,24,27,24,01,21,27,04,22,13
diadesorte,9,09/06/2018,False,03,10,13,18,19,23,24,18,24,23,03,10,19,13
diadesorte,10,12/06/2018,True,06,10,13,18,19,20,30,18,30,19,06,20,13,10
diadesorte,11,14/06/2018,True,07,13,16,19,20,27,31,07,13,27,19,31,16,20
diadesorte,12,16/06/2018,False,02,03,07,12,17,21,22,22,07,12,03,02,21,17
diadesorte,13,19/06/2018,True,01,04,07,09,20,21,26,20,21,09,26,01,07,04
diadesorte,14,21/06/2018,True,01,08,16,20,21,26,31,16,26,31,01,08,20,21
diadesorte,15,23/06/2018,True,08,11,13,16,26,28,29,26,13,16,08,11,29,28
diadesorte,16,26/06/2018,False,01,02,07,12,16,20,25,16,07,01,12,02,20,25
diadesorte,17,28/06/2018,True,09,11,13,14,19,20,22,09,20,19,14,11,22,13
diadesorte,18,30/06/2018,False,04,07,08,14,21,27,31,21,07,08,27,14,04,31
diadesorte,19,03/07/2018,True,03,04,09,12,14,28,29,29,28,12,14,03,04,09
diadesorte,20,05/07/2018,False,06,12,17,21,26,29,31,17,31,12,21,06,26,29
diadesorte,21,07/07/2018,True,02,08,10,11,12,18,31,18,31,08,11,10,12,02
diadesorte,22,10/07/2018,True,02,04,05,12,18,22,27,04,12,05,02,27,22,18
diadesorte,23,12/07/2018,True,09,10,17,19,25,27,28,19,27,09,17,10,25,28
diadesorte,24,14/07/2018,False,07,08,12,15,16,18,30,07,16,30,18,08,12,15
diadesorte,25,17/07/2018,False,01,10,13,17,21,25,29,29,13,17,25,10,21,01
diadesorte,26,19/07/2018,True,02,08,10,11,16,20,28,28,02,11,20,08,10,16
diadesorte,27,21/07/2018,False,06,12,15,17,20,23,28,23,20,28,12,15,17,06
diadesorte,28,24/07/2018,False,02,09,12,15,18,20,24,20,24,18,09,15,02,12
diadesorte,29,26/07/2018,True,03,05,13,21,22,24,27,21,03,22,27,05,13,24
diadesorte,30,28/07/2018,True,04,08,09,17,20,27,30,08,04,09,30,27,20,17
diadesorte,31,31/07/2018,True,04,06,07,09,11,24,28,06,07,28,04,11,09,24
diadesorte,32,02/08/2018,False,03,04,07,16,18,20,27,18,03,20,07,16,04,27
diadesorte,33,04/08/2018,True,03,10,12,13,23,28,31,13,28,31,12,10,23,03
diadesorte,34,07/08/2018,False,06,12,15,18,23,27,29,15,18,29,27,23,06,12
diadesorte,35,09/08/2018,True,03,07,11,12,17,22,23,17,23,03,07,11,22,12
diadesorte,36,11/08/2018,True,02,07,11,12,13,16,27,11,12,07,16,13,02,27
diadesorte,37,14/08/2018,False,02,07,12,16,18,22,23,18,16,02,23,22,12,07
diadesorte,38,16/08/2018,True,08,15,17,18,26,29,30,08,17,29,26,30,18,15
diadesorte,39,18/08/2018,False,04,05,06,09,13,25,30,06,25,04,09,13,05,30
diadesorte,40,21/08/2018,False,02,10,12,14,19,21,27,27,19,14,12,21,10,02
diadesorte,41,23/08/2018,False,07,12,23,25,27,30,31,23,07,25,31,12,27,30
diadesorte,42,25/08/2018,True,06,11,14,16,17,29,31,14,31,17,11,29,16,06
diadesorte,43,28/08/2018,False,04,07,17,18,27,28,31,27,28,04,31,18,17,07
diadesorte,44,30/08/2018,True,07,09,15,23,26,30,31,31,26,23,09,30,07,15
diadesorte,45,01/09/2018,False,02,05,07,12,15,29,30,29,02,12,15,30,05,07
diadesorte,46,04/09/2018,True,01,04,05,08,10,16,30,05,08,01,16,04,30,10
