loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12
duplasena,1,06/11/2001,True,07,15,24,41,48,50,09,37,41,43,44,49,41,48,15,07,24,50,43,37,41,49,44,09
duplasena,2,09/11/2001,True,04,09,11,32,38,42,09,13,19,24,29,46,11,38,32,04,09,42,13,09,46,29,19,24
duplasena,3,13/11/2001,True,11,34,42,44,45,47,12,24,30,40,47,48,42,34,11,44,45,47,24,47,48,30,40,12
duplasena,4,16/11/2001,True,29,38,43,44,46,50,02,07,11,44,46,49,38,44,50,46,43,29,44,46,02,07,49,11
duplasena,5,20/11/2001,True,07,12,16,25,32,40,03,10,12,19,26,49,32,16,12,40,25,07,12,19,03,49,10,26
duplasena,6,23/11/2001,True,09,13,14,16,31,41,02,31,35,36,42,47,16,14,31,13,41,09,02,31,42,35,36,47
duplasena,7,27/11/2001,True,06,09,17,23,24,32,05,08,28,30,32,45,24,32,09,17,06,23,45,30,05,28,32,08
duplasena,8,30/11/2001,True,11,24,29,32,38,39,02,14,17,30,31,39,29,32,11,39,38,24,39,02,30,31,17,14
duplasena,9,04/12/2001,False,10,18,22,37,42,44,10,26,31,37,42,46,44,22,37,18,42,10,26,31,42,46,10,37
duplasena,10,07/12/2001,True,17,19,31,34,39,44,04,05,11,20,24,40,31,19,44,34,17,39,24,20,11,04,40,05
duplasena,11,11/12/2001,True,02,04,08,27,36,43,05,08,17,40,43,45,04,36,27,02,08,43,43,05,08,45,17,40
duplasena,12,14/12/2001,True,12,21,28,29,45,48,15,18,19,20,25,31,28,29,48,21,45,12,15,18,25,31,19,20
duplasena,13,18/12/2001,True,01,03,31,33,37,46,04,13,31,43,47,49,01,03,31,33,37,46,43,31,04,13,49,47
duplasena,14,21/12/2001,True,06,07,33,38,39,47,05,12,14,16,19,26,47,06,39,38,33,07,19,26,12,05,14,16
duplasena,15,28/12/2001,True,04,30,32,40,43,44,07,13,20,23,28,34,43,44,40,30,04,32,23,20,07,28,13,34
duplasena,16,04/01/2002,True,19,21,25,26,41,46,05,06,22,27,31,38,25,21,46,26,19,41,22,06,05,31,38,27
duplasena,17,08/01/2002,True,03,05,14,43,44,47,01,02,27,36,37,43,03,05,44,43,47,14,27,43,37,36,01,02
duplasena,18,11/01/2002,True,15,27,28,35,41,50,01,13,14,22,23,38,28,35,50,41,15,27,01,13,23,14,22,38
duplasena,19,15/01/2002,True,05,10,19,25,33,34,15,24,27,32,39,47,10,19,34,33,25,05,47,32,39,27,15,24
duplasena,20,18/01/2002,True,07,13,16,26,45,49,18,25,39,43,47,48,07,13,26,16,49,45,18,39,48,43,25,47
duplasena,21,22/01/2002,True,06,14,17,30,37,44,06,09,14,20,24,26,37,30,14,44,17,06,14,09,24,06,26,20
duplasena,22,25/01/2002,False,02,17,27,29,34,42,07,13,28,34,42,43,02,42,27,34,17,29,13,43,28,07,42,34
duplasena,23,29/01/2002,True,08,09,10,11,22,42,04,07,08,20,34,37,09,08,42,22,11,10,37,04,08,07,34,20
duplasena,24,01/02/2002,False,19,24,25,26,42,44,01,06,11,15,16,36,26,24,19,25,44,42,01,11,06,15,16,36
duplasena,25,05/02/2002,True,06,15,30,35,42,46,19,23,24,33,41,44,15,35,46,42,06,30,24,33,23,44,41,19
duplasena,26,08/02/2002,True,02,04,08,17,23,38,04,19,26,39,48,49,38,02,23,04,17,08,04,39,26,19,49,48
duplasena,27,15/02/2002,True,05,07,19,29,32,35,03,28,37,42,44,47,32,29,19,35,07,05,42,47,03,37,28,44
duplasena,28,19/02/2002,True,01,10,13,22,26,38,27,30,31,34,40,49,38,22,01,26,13,10,27,49,34,40,30,31
duplasena,29,22/02/2002,True,01,12,19,23,39,50,16,25,35,41,45,47,50,23,39,19,12,01,47,45,41,35,25,16
duplasena,30,26/02/2002,True,08,18,21,33,36,46,03,05,13,15,28,43,33,36,08,21,18,46,28,05,03,15,43,13
duplasena,31,01/03/2002,True,05,19,20,29,32,43,31,35,36,46,47,49,20,19,29,05,32,43,35,31,49,46,47,36
duplasena,32,05/03/2002,True,18,20,24,30,39,47,06,12,14,25,26,39,30,47,18,39,20,24,14,06,12,39,26,25
duplasena,33,08/03/2002,True,11,16,17,19,24,32,13,21,22,25,33,49,24,17,32,11,19,16,33,21,22,25,49,13
duplasena,34,12/03/2002,True,01,07,29,40,41,45,01,15,22,24,29,45,07,29,41,40,45,01,29,24,45,22,01,15
duplasena,35,15/03/2002,True,01,02,06,26,30,45,07,08,13,28,33,47,06,26,02,30,01,45,08,07,47,33,13,28
duplasena,36,19/03/2002,True,09,12,14,17,22,50,02,13,41,42,44,45,14,12,50,09,22,17,44,13,42,41,45,02
