loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
lotomania,1,02/10/1999,True,00,06,11,14,16,21,22,25,32,33,34,46,61,70,73,78,88,89,90,95,16,11,88,32,25,00,70,78,73,61,90,89,46,95,06,33,34,21,14,22
lotomania,2,09/10/1999,True,08,11,14,17,18,24,29,37,44,49,51,55,62,63,64,76,82,84,93,97,76,63,18,44,84,11,55,93,08,29,82,62,17,64,24,14,37,97,49,51
lotomania,3,16/10/1999,True,08,10,11,17,20,22,28,34,45,47,48,54,55,57,67,74,79,85,91,99,34,08,10,11,99,28,67,20,55,74,45,48,85,91,79,57,47,22,17,54
lotomania,4,23/10/1999,True,05,12,14,25,30,35,39,41,44,49,51,55,60,63,64,67,78,83,93,98,14,67,12,55,25,60,51,30,41,35,78,83,93,64,98,39,44,49,05,63
lotomania,5,30/10/1999,True,00,08,17,20,28,32,39,42,43,51,54,59,65,69,71,73,87,92,98,99,39,32,65,08,51,42,17,92,43,71,28,73,98,69,59,54,20,87,99,00
lotomania,6,06/11/1999,True,12,13,17,20,24,27,30,33,35,42,47,48,58,72,73,74,75,76,80,93,48,12,24,76,33,58,27,13,93,42,35,74,17,72,73,47,75,30,20,80
lotomania,7,13/11/1999,False,03,06,18,19,23,36,39,45,46,50,56,59,64,70,73,85,92,94,97,99,97,19,94,23,85,39,50,59,46,45,99,36,70,64,92,03,56,18,06,73
lotomania,8,20/11/1999,True,00,05,07,10,11,19,26,33,41,47,53,57,59,65,74,75,83,84,94,99,19,41,26,65,47,75,05,94,10,00,59,33,99,57,84,11,74,83,07,53
lotomania,9,27/11/1999,False,00,01,03,07,09,10,17,21,22,29,30,32,36,60,67,69,70,73,77,98,73,36,21,98,30,17,70,60,67,22,29,00,03,10,07,32,09,01,69,77
lotomania,10,04/12/1999,False,08,09,25,28,34,38,41,42,47,51,55,60,63,65,79,81,86,87,95,98,47,42,51,28,25,81,34,41,08,60,86,38,65,55,63,79,09,87,95,98
lotomania,11,11/12/1999,True,08,14,16,24,34,35,46,51,53,54,58,64,71,74,78,79,83,87,93,94,16,54,53,93,46,87,79,24,14,83,34,58,74,08,94,78,51,71,64,35
lotomania,12,18/12/1999,True,05,10,16,20,21,22,28,32,36,37,39,43,49,52,56,63,65,81,88,89,89,81,37,16,56,63,05,21,22,49,20,36,39,32,65,10,88,28,52,43
lotomania,13,24/12/1999,True,00,02,03,06,32,35,42,47,56,58,59,66,68,75,76,79,82,84,88,91,75,84,00,79,32,42,76,58,02,47,59,82,03,66,91,06,35,56,68,88
lotomania,14,31/12/1999,False,03,04,11,13,18,29,30,36,37,40,43,52,55,59,76,81,83,85,86,97,83,36,85,43,03,52,30,59,97,76,13,11,29,04,37,40,86,55,81,18
