loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,o1,o2,o3,o4,o5,o6,o7,o8
maismilionaria,1,28/05/2022,True,01,03,07,15,23,44,23,44,01,07,03,15,04,02
maismilionaria,2,04/06/2022,True,13,16,35,41,42,47,13,35,42,41,47,16,06,02
maismilionaria,3,11/06/2022,True,01,09,17,30,31,44,09,17,30,44,01,31,01,04
maismilionaria,4,18/06/2022,True,06,23,25,33,34,47,33,23,25,47,06,34,01,02
maismilionaria,5,25/06/2022,True,06,16,21,24,26,45,26,16,21,06,45,24,02,05
maismilionaria,6,02/07/2022,True,01,19,22,32,39,45,45,39,19,01,32,22,05,01
maismilionaria,7,09/07/2022,True,09,12,35,44,47,48,12,47,35,44,48,09,05,01
maismilionaria,8,16/07/2022,True,01,04,05,16,38,50,01,04,05,38,16,50,01,03
maismilionaria,9,23/07/2022,True,06,11,12,14,15,18,15,14,06,11,18,12,03,04
maismilionaria,10,30/07/2022,True,04,06,10,42,47,48,10,47,06,48,04,42,05,02
maismilionaria,11,06/08/2022,True,04,13,15,31,39,45,31,04,15,45,39,13,04,02
maismilionaria,12,13/08/2022,True,06,20,24,26,31,50,50,26,31,24,06,20,01,05
maismilionaria,13,20/08/2022,True,14,31,39,44,45,46,44,39,31,46,14,45,02,01
maismilionaria,14,27/08/2022,True,12,13,42,46,48,49,48,49,13,46,42,12,03,01
maismilionaria,15,03/09/2022,True,03,35,37,39,41,50,37,41,03,50,39,35,06,04
maismilionaria,16,10/09/2022,True,03,11,13,23,33,47,13,33,47,03,11,23,05,02
maismilionaria,17,17/09/2022,True,03,17,25,46,48,50,50,46,03,25,48,17,01,03
maismilionaria,18,24/09/2022,True,10,18,20,39,42,49,39,18,10,49,20,42,04,03
maismilionaria,19,01/10/2022,True,06,19,33,34,39,47,47,33,34,19,06,39,05,03
maismilionaria,20,08/10/2022,True,04,08,10,11,22,25,22,25,04,08,10,11,05,06
maismilionaria,21,15/10/2022,True,04,26,27,29,34,35,04,27,34,26,29,35,05,06
maismilionaria,22,22/10/2022,True,05,22,28,46,47,48,22,05,46,28,48,47,03,04
maismilionaria,23,29/10/2022,True,04,05,11,27,34,50,11,27,05,50,04,34,05,01
maismilionaria,24,05/11/2022,True,22,29,31,32,36,45,22,36,31,32,45,29,06,05
maismilionaria,25,12/11/2022,True,10,14,21,31,39,42,14,10,31,42,21,39,03,06
maismilionaria,26,19/11/2022,True,05,12,26,31,34,50,12,05,31,50,34,26,06,05
maismilionaria,27,26/11/2022,True,03,16,17,21,23,37,23,03,37,17,21,16,04,01
maismilionaria,28,03/12/2022,True,02,07,29,40,41,50,41,40,02,29,50,07,06,02
maismilionaria,29,10/12/2022,True,12,22,30,33,43,44,22,12,33,30,43,44,05,02
maismilionaria,30,17/12/2022,True,02,24,31,39,46,47,39,47,02,24,31,46,02,01
maismilionaria,31,24/12/2022,True,14,15,29,32,41,50,29,32,15,14,50,41,05,03
maismilionaria,32,31/12/2022,True,12,23,30,36,45,46,23,45,46,30,12,36,06,02
maismilionaria,33,07/01/2023,True,01,03,06,13,21,32,03,06,21,13,32,01,05,04
maismilionaria,34,14/01/2023,True,03,06,08,36,49,50,36,06,50,08,03,49,06,01
maismilionaria,35,21/01/2023,True,01,02,16,28,33,42,02,28,16,42,01,33,02,04
maismilionaria,36,28/01/2023,True,02,08,09,15,28,32,08,02,32,09,28,15,04,01
maismilionaria,37,04/02/2023,True,08,16,20,25,45,46,20,25,45,16,08,46,04,03
maismilionaria,38,11/02/2023,True,07,14,15,16,18,23,07,18,15,23,14,16,02,03
maismilionaria,39,18/02/2023,True,02,03,11,16,17,46,11,17,03,46,02,16,02,03
maismilionaria,40,25/02/2023,True,02,12,22,30,33,48,48,30,33,02,22,12,02,03
maismilionaria,41,04/03/2023,True,05,16,18,40,42,44,16,40,18,42,05,44,01,04
maismilionaria,42,11/03/2023,True,02,09,14,25,33,44,14,44,25,33,02,09,06,03
maismilionaria,43,18/03/2023,True,03,06,08,11,14,33,33,06,08,11,03,14,05,04
maismilionaria,44,25/03/2023,True,01,09,12,29,32,36,01,36,12,09,32,29,02,06
maismilionaria,45,01/04/2023,True,07,20,22,25,43,45,07,25,43,45,22,20,05,02
