loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,o1,o2,o3,o4,o5,o6
megasena,1141,02/01/2010,True,09,37,40,50,58,60,40,09,37,58,50,60
megasena,1142,06/01/2010,True,03,15,26,28,31,58,28,31,15,58,03,26
megasena,1143,09/01/2010,True,03,30,35,44,47,60,35,47,60,44,30,03
megasena,1144,13/01/2010,True,01,10,18,19,44,49,19,10,49,18,01,44
megasena,1145,16/01/2010,False,03,16,19,24,33,60,19,03,60,33,24,16
megasena,1146,20/01/2010,True,06,10,28,33,34,53,10,34,53,33,28,06
megasena,1147,23/01/2010,True,06,23,31,33,39,52,23,39,52,31,06,33
megasena,1148,27/01/2010,True,27,28,29,32,48,55,48,32,29,55,27,28
megasena,1149,30/01/2010,True,07,08,23,36,46,54,46,54,08,36,07,23
megasena,1150,03/02/2010,True,15,17,28,31,35,52,28,17,35,52,31,15
megasena,1151,06/02/2010,True,01,04,14,21,25,51,01,25,04,14,21,51
megasena,1152,10/02/2010,True,14,20,29,36,44,47,47,36,44,29,20,14
megasena,1153,13/02/2010,True,06,17,19,34,46,55,55,46,34,17,19,06
megasena,1154,17/02/2010,True,04,12,14,21,26,28,04,14,21,26,12,28
megasena,1155,20/02/2010,True,20,28,40,41,51,58,28,58,41,40,51,20
megasena,1156,24/02/2010,True,09,24,31,44,48,49,31,49,44,24,09,48
megasena,1157,27/02/2010,False,09,29,41,43,46,49,46,09,43,41,49,29
megasena,1158,03/03/2010,True,23,30,31,54,55,60,23,31,60,55,30,54
megasena,1159,06/03/2010,True,05,06,34,46,53,55,53,46,05,06,34,55
megasena,1160,10/03/2010,False,01,03,05,18,40,48,40,05,03,48,01,18
megasena,1161,13/03/2010,True,04,07,42,47,48,51,48,47,07,04,42,51
megasena,1162,17/03/2010,True,18,22,25,30,31,41,31,25,18,41,22,30
megasena,1163,20/03/2010,True,05,17,31,47,51,53,05,51,31,53,47,17
megasena,1164,24/03/2010,True,06,14,17,26,40,49,17,06,14,40,49,26
megasena,1165,27/03/2010,True,20,40,42,52,54,60,20,52,60,42,54,40
megasena,1166,31/03/2010,True,22,28,30,31,35,54,35,28,54,30,22,31
megasena,1167,03/04/2010,True,20,28,43,51,52,56,43,28,56,20,52,51
megasena,1168,07/04/2010,True,04,05,20,47,53,56,47,20,04,56,53,05
megasena,1169,10/04/2010,False,01,11,14,23,42,48,14,01,11,23,42,48
megasena,1170,14/04/2010,False,11,13,27,34,46,49,46,11,27,34,49,13
megasena,1171,17/04/2010,True,03,10,13,30,41,57,41,03,10,30,57,13
megasena,1172,20/04/2010,True,06,12,28,43,52,56,28,52,06,43,12,56
megasena,1173,24/04/2010,True,05,07,24,25,36,47,07,25,24,36,05,47
megasena,1174,28/04/2010,True,06,07,39,47,51,52,07,52,06,51,47,39
megasena,1175,30/04/2010,True,02,03,12,16,37,47,02,03,12,37,47,16
megasena,1176,05/05/2010,True,11,14,21,30,33,49,21,11,49,14,33,30
megasena,1177,08/05/2010,False,33,38,47,50,52,55,33,52,55,47,38,50
megasena,1178,12/05/2010,True,01,22,30,45,50,53,01,53,22,50,45,30
megasena,1179,15/05/2010,True,05,22,28,47,59,60,59,28,47,60,22,05
megasena,1180,19/05/2010,True,12,30,34,44,57,60,60,12,34,30,44,57
megasena,1181,22/05/2010,True,18,20,26,31,44,45,44,18,45,31,26,20
megasena,1182,26/05/2010,True,02,04,29,52,56,60,52,29,56,60,02,04
megasena,1183,29/05/2010,False,05,10,12,20,29,37,12,05,10,20,29,37
megasena,1184,02/06/2010,True,04,09,23,27,28,30,04,23,27,28,09,30
megasena,1185,05/06/2010,True,02,10,21,35,43,54,54,10,02,43,21,35
megasena,1186,09/06/2010,False,07,08,12,13,15,41,41,12,15,07,13,08
megasena,1187,12/06/2010,True,08,17,19,40,43,49,08,49,43,17,40,19
megasena,1188,16/06/2010,True,09,20,44,52,59,60,60,52,59,09,44,20
