concurso,data,b1,b2,b3,b4,b5,b6,acumulado,valor_acumulado
1,11/03/1996,04,05,30,33,41,52,True,1714650.23
2,18/03/1996,09,37,39,41,43,49,False,0.0
3,25/03/1996,10,11,29,30,36,47,False,0.0
4,01/04/1996,01,05,06,27,42,59,True,717080.75
5,08/04/1996,01,02,06,16,19,46,True,1342488.85
6,15/04/1996,07,13,19,22,40,47,True,2286166.33
7,22/04/1996,03,05,20,21,38,56,True,3335692.28
8,29/04/1996,04,17,37,38,47,53,True,4493748.19
9,06/05/1996,08,43,54,55,56,60,True,5718641.49
10,13/05/1996,04,18,21,25,38,57,True,13334769.81
11,20/05/1996,15,25,37,38,58,59,False,0.0
12,27/05/1996,04,16,19,20,27,43,True,880136.24
13,03/06/1996,18,32,47,50,54,56,True,1940205.35
14,10/06/1996,02,16,23,27,47,53,True,3006941.32
15,17/06/1996,12,33,35,51,52,60,True,4232661.35
16,24/06/1996,20,32,34,49,58,60,True,5471686.62
17,01/07/1996,06,10,13,19,20,51,False,0.0
18,08/07/1996,23,27,36,37,42,56,True,858843.48
19,15/07/1996,05,10,12,24,25,60,True,10506266.73
20,22/07/1996,11,25,28,30,33,51,True,11844340.83
21,29/07/1996,06,33,36,46,49,53,True,13182021.44
22,05/08/1996,01,09,31,38,46,56,True,14716828.84
23,12/08/1996,17,37,39,51,52,59,True,16510452.0
24,19/08/1996,01,08,14,28,33,43,False,0.0
25,25/08/1996,24,43,50,54,55,56,True,884973.5
26,01/09/1996,10,22,50,53,57,58,True,1892469.3
27,08/09/1996,13,17,20,33,44,51,True,2998050.68
28,15/09/1996,03,06,22,24,54,60,True,4183003.48
29,22/09/1996,03,08,14,43,56,58,False,0.0
30,29/09/1996,07,14,15,29,38,50,True,10127520.8
31,06/10/1996,17,19,28,45,48,56,True,11214340.46
32,13/10/1996,05,14,33,36,43,44,True,12531181.83
33,20/10/1996,05,17,33,39,42,49,False,0.0
34,27/10/1996,13,15,17,40,53,57,True,832568.2
35,03/11/1996,04,16,21,23,54,57,True,1770963.49
36,10/11/1996,03,13,17,25,29,51,True,2841425.78
37,17/11/1996,06,07,22,38,52,60,True,3791687.26
38,24/11/1996,10,42,43,45,54,55,True,4910944.53
39,01/12/1996,12,16,37,45,52,56,True,13456111.33
40,08/12/1996,03,05,08,12,46,47,True,15222867.04
41,15/12/1996,12,26,35,38,39,47,False,0.0
42,22/12/1996,07,11,19,24,33,36,True,888735.02
43,29/12/1996,02,06,17,25,26,58,True,1765157.22
44,05/01/1997,14,18,29,38,44,47,True,2642633.14
45,12/01/1997,07,30,37,44,53,55,True,3719811.46
46,19/01/1997,01,23,24,32,46,60,True,4809891.56
47,26/01/1997,03,17,25,35,48,56,True,5933418.51
48,02/02/1997,02,05,28,34,47,50,True,7118717.38
49,09/02/1997,07,13,33,35,43,55,False,0.0
50,16/02/1997,06,16,21,44,57,58,True,8917830.39
51,23/02/1997,17,23,24,25,42,47,True,10158749.73
52,02/03/1997,15,30,38,46,58,59,True,11595036.71
53,09/03/1997,03,13,16,38,42,46,True,13192159.46
54,16/03/1997,05,09,18,21,36,56,False,0.0
55,23/03/1997,02,14,23,29,38,52,True,856756.39
56,30/03/1997,02,07,20,35,51,59,True,1556147.46
57,06/04/1997,07,16,17,27,34,59,True,2570421.8
58,13/04/1997,12,27,30,37,44,49,False,0.0
