loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,o1,o2,o3,o4,o5
quina,1,13/03/1994,False,25,45,60,76,79,25,45,60,76,79
quina,2,17/03/1994,False,13,30,58,63,64,13,30,58,63,64
quina,3,20/03/1994,False,05,15,32,33,48,05,15,32,33,48
quina,4,24/03/1994,False,27,57,60,61,77,27,57,60,61,77
quina,5,27/03/1994,False,19,44,53,54,71,19,44,53,54,71
quina,6,03/04/1994,False,04,45,54,65,67,04,45,54,65,67
quina,7,07/04/1994,False,09,21,37,42,68,09,21,37,42,68
quina,8,10/04/1994,True,05,16,26,28,62,05,16,26,28,62
quina,9,14/04/1994,True,04,15,44,64,73,04,15,44,64,73
quina,10,17/04/1994,True,20,32,49,54,62,20,32,49,54,62
quina,11,24/04/1994,False,17,33,52,60,76,17,33,52,60,76
quina,12,28/04/1994,False,01,28,56,65,79,01,28,56,65,79
quina,13,01/05/1994,True,13,33,38,39,72,13,33,38,39,72
quina,14,05/05/1994,False,44,52,60,64,68,44,52,60,64,68
quina,15,08/05/1994,False,02,25,54,63,66,02,25,54,63,66
quina,16,12/05/1994,False,11,24,63,64,69,11,24,63,64,69
quina,17,15/05/1994,False,01,14,26,34,72,01,14,26,34,72
quina,18,19/05/1994,False,06,29,40,63,72,06,29,40,63,72
quina,19,22/05/1994,False,12,21,42,60,66,12,21,42,60,66
quina,20,26/05/1994,False,13,16,31,39,70,13,16,31,39,70
quina,21,29/05/1994,True,05,15,38,48,77,05,15,38,48,77
quina,22,05/06/1994,False,07,09,11,25,75,07,09,11,25,75
quina,23,09/06/1994,True,01,15,63,72,77,01,15,63,72,77
quina,24,12/06/1994,True,09,44,57,67,68,09,44,57,67,68
quina,25,16/06/1994,False,02,29,46,69,76,02,29,46,69,76
quina,26,19/06/1994,False,10,15,22,55,79,10,15,22,55,79
quina,27,23/06/1994,True,05,36,39,70,78,05,36,39,70,78
quina,28,26/06/1994,False,08,26,28,29,30,08,26,28,29,30
quina,29,03/07/1994,True,20,23,31,35,76,20,23,31,35,76
quina,30,07/07/1994,False,12,13,14,56,60,12,13,14,56,60
quina,31,10/07/1994,False,43,51,54,69,73,43,51,54,69,73
quina,32,14/07/1994,True,09,23,31,60,80,09,23,31,60,80
quina,33,18/07/1994,True,21,31,44,65,74,21,31,44,65,74
quina,34,21/07/1994,True,17,45,64,67,69,17,45,64,67,69
quina,35,24/07/1994,False,44,52,54,56,60,44,52,54,56,60
quina,36,28/07/1994,True,42,56,62,65,79,42,56,62,65,79
