loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,o1,o2,o3,o4,o5,o6,o7
supersete,1,02/10/2020,True,2,9,9,8,7,7,6,2,9,9,8,7,7,6
supersete,2,05/10/2020,True,8,8,1,5,6,7,7,8,8,1,5,6,7,7
supersete,3,07/10/2020,False,7,2,6,6,5,4,4,7,2,6,6,5,4,4
supersete,4,09/10/2020,True,5,7,8,1,8,2,5,5,7,8,1,8,2,5
supersete,5,14/10/2020,True,6,4,0,1,0,6,9,6,4,0,1,0,6,9
supersete,6,16/10/2020,True,5,7,3,3,4,1,1,5,7,3,3,4,1,1
supersete,7,19/10/2020,True,0,7,7,6,4,4,9,0,7,7,6,4,4,9
supersete,8,21/10/2020,True,7,0,9,2,0,2,5,7,0,9,2,0,2,5
supersete,9,23/10/2020,True,8,6,2,0,2,6,7,8,6,2,0,2,6,7
supersete,10,26/10/2020,True,8,9,9,2,9,6,5,8,9,9,2,9,6,5
supersete,11,28/10/2020,True,6,0,7,5,6,0,9,6,0,7,5,6,0,9
supersete,12,30/10/2020,True,3,0,3,2,8,9,0,3,0,3,2,8,9,0
supersete,13,04/11/2020,True,3,9,9,7,4,6,0,3,9,9,7,4,6,0
supersete,14,06/11/2020,True,7,4,0,9,4,7,4,7,4,0,9,4,7,4
supersete,15,09/11/2020,True,3,6,8,1,7,9,9,3,6,8,1,7,9,9
supersete,16,11/11/2020,True,5,7,2,6,9,4,4,5,7,2,6,9,4,4
supersete,17,13/11/2020,True,3,8,2,3,5,8,6,3,8,2,3,5,8,6
supersete,18,16/11/2020,True,3,8,2,4,8,6,8,3,8,2,4,8,6,8
supersete,19,18/11/2020,False,0,0,0,1,4,3,3,0,0,0,1,4,3,3
supersete,20,20/11/2020,True,4,9,3,9,8,1,3,4,9,3,9,8,1,3
supersete,21,23/11/2020,True,7,8,7,9,9,8,8,7,8,7,9,9,8,8
supersete,22,25/11/2020,True,8,2,1,1,8,9,4,8,2,1,1,8,9,4
