loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,o1,o2,o3,o4,o5,o6,o7
timemania,1,01/03/2008,True,24,31,51,57,63,71,80,71,51,63,57,24,80,31
timemania,2,08/03/2008,True,18,20,25,31,50,63,77,77,18,31,25,20,63,50
timemania,3,15/03/2008,True,09,21,29,36,43,72,74,36,43,09,74,72,29,21
timemania,4,22/03/2008,True,15,38,54,66,68,70,71,66,71,15,38,70,68,54
timemania,5,29/03/2008,True,15,20,23,24,51,54,58,15,58,24,20,23,54,51
timemania,6,05/04/2008,True,01,08,17,55,59,60,80,55,60,08,17,80,01,59
timemania,7,13/04/2008,True,15,18,29,37,42,55,77,42,15,77,37,18,55,29
timemania,8,20/04/2008,True,48,50,61,71,74,75,76,75,48,76,50,71,61,74
timemania,9,27/04/2008,True,05,24,37,56,58,69,78,05,56,69,37,78,24,58
timemania,10,04/05/2008,True,01,14,23,37,53,59,74,23,74,37,14,01,53,59
timemania,12,17/05/2008,True,02,13,15,24,39,56,73,15,02,73,13,24,56,39
timemania,13,24/05/2008,True,06,28,32,37,73,75,79,75,37,06,79,73,28,32
timemania,14,31/05/2008,True,15,19,32,51,57,60,68,68,15,19,51,60,57,32
timemania,15,08/06/2008,True,03,09,20,21,25,58,64,03,58,20,21,09,25,64
timemania,16,15/06/2008,False,05,38,42,52,55,57,59,57,05,52,59,38,55,42
timemania,17,22/06/2008,True,10,12,20,23,30,50,53,10,50,23,12,30,20,53
timemania,18,29/06/2008,True,09,15,26,33,54,63,70,33,54,63,26,15,09,70
timemania,19,06/07/2008,True,26,38,44,49,55,60,75,44,60,49,26,75,55,38
timemania,20,13/07/2008,True,19,28,37,39,53,64,73,19,39,64,73,37,53,28
timemania,21,20/07/2008,True,01,15,46,59,65,75,80,15,59,80,75,01,46,65
timemania,22,27/07/2008,True,04,07,21,52,55,60,78,07,52,78,21,04,55,60
timemania,23,03/08/2008,True,12,16,17,20,23,60,62,17,12,20,62,16,23,60
timemania,24,10/08/2008,True,04,59,61,62,72,78,80,62,78,72,80,59,61,04
timemania,25,17/08/2008,True,04,23,44,47,49,51,75,47,04,49,23,51,75,44
timemania,26,24/08/2008,True,07,14,22,48,54,70,74,48,22,54,07,74,70,14
timemania,27,31/08/2008,True,04,08,20,31,48,54,55,08,20,55,31,54,04,48
timemania,28,07/09/2008,True,15,24,26,55,66,72,78,78,26,15,66,55,24,72
timemania,29,14/09/2008,False,04,08,25,34,49,52,68,49,08,34,04,25,68,52
timemania,30,21/09/2008,True,01,09,19,20,33,44,69,09,69,19,44,33,20,01
timemania,31,28/09/2008,True,01,12,46,52,63,70,74,70,01,63,12,46,52,74
timemania,32,05/10/2008,True,02,19,23,25,41,45,54,54,19,02,23,25,45,41
timemania,33,11/10/2008,True,13,29,30,35,62,78,79,62,78,35,30,79,29,13
timemania,35,26/10/2008,False,16,20,25,50,70,75,77,77,20,16,50,25,70,75
timemania,36,01/11/2008,True,10,20,42,54,58,59,72,10,42,54,72,20,58,59
timemania,37,09/11/2008,True,06,08,12,19,37,51,55,51,55,12,19,37,06,08
timemania,38,16/11/2008,True,08,21,30,35,49,69,71,21,69,71,30,35,08,49
timemania,39,23/11/2008,True,13,28,31,41,52,61,80,61,13,31,28,80,52,41
timemania,40,30/11/2008,True,09,35,36,45,54,64,76,64,76,36,45,54,35,09
timemania,41,07/12/2008,True,19,25,37,42,63,75,79,79,25,63,37,75,42,19
timemania,42,14/12/2008,True,08,19,41,47,50,71,78,19,41,08,78,50,71,47
timemania,43,21/12/2008,True,10,23,42,52,60,66,73,23,42,10,66,60,52,73
timemania,44,28/12/2008,True,20,21,27,30,64,66,76,20,66,76,27,21,64,30
timemania,45,04/01/2009,True,20,26,28,34,55,71,76,28,55,20,71,34,26,76
timemania,46,10/01/2009,True,08,16,36,57,60,69,75,60,69,08,57,16,36,75
timemania,47,18/01/2009,True,25,27,29,46,64,73,79,79,25,29,46,64,27,73
timemania,48,24/01/2009,True,16,20,33,52,59,65,80,59,65,16,52,33,20,80
timemania,49,01/02/2009,True,12,17,20,27,36,38,69,38,20,12,36,27,17,69
timemania,51,15/02/2009,True,15,27,28,30,43,52,67,30,28,67,27,15,43,52
timemania,52,22/02/2009,True,01,29,38,42,53,55,71,71,55,42,38,53,29,01
timemania,53,28/02/2009,True,01,13,16,44,60,66,71,66,71,01,13,60,16,44
timemania,54,07/03/2009,True,08,18,20,38,40,48,71,38,40,08,20,18,71,48
timemania,55,15/03/2009,True,14,26,37,43,60,69,77,77,26,43,69,60,37,14
timemania,59,11/04/2009,True,02,09,27,30,38,61,72,27,09,30,02,72,61,38
timemania,60,18/04/2009,True,23,24,39,53,54,55,69,55,53,39,69,24,23,54
timemania,61,25/04/2009,True,04,14,41,42,50,64,70,14,70,04,50,41,64,42
timemania,62,02/05/2009,True,16,19,33,59,69,70,80,59,16,80,69,19,70,33
timemania,63,09/05/2009,True,13,17,29,45,48,56,62,13,17,45,62,56,29,48
timemania,64,16/05/2009,True,40,44,51,56,64,71,77,77,64,44,51,71,56,40
timemania,65,23/05/2009,True,11,14,28,36,59,72,79,11,28,72,79,59,36,14
timemania,66,30/05/2009,True,04,16,17,24,31,59,71,16,04,17,24,71,31,59
timemania,67,06/06/2009,True,13,20,21,32,70,74,79,70,13,20,32,74,79,21
timemania,68,13/06/2009,True,04,13,24,41,49,52,80,80,52,04,41,24,13,49
timemania,69,20/06/2009,False,05,08,10,38,55,71,78,78,05,55,10,71,08,38
timemania,70,27/06/2009,True,06,08,18,19,45,46,73,06,45,08,19,46,73,18
timemania,71,04/07/2009,True,03,08,09,27,28,52,78,28,52,27,03,78,09,08
timemania,72,11/07/2009,True,01,06,21,26,36,40,55,01,21,55,06,26,40,36
timemania,73,18/07/2009,True,03,07,39,42,48,57,75,39,07,03,75,57,42,48
timemania,74,25/07/2009,True,03,20,25,31,40,51,60,51,25,60,40,20,03,31
timemania,75,01/08/2009,True,06,12,22,50,52,59,72,50,59,52,12,06,22,72
timemania,76,08/08/2009,True,25,34,46,51,52,64,76,51,25,64,46,34,52,76
timemania,77,15/08/2009,True,19,20,23,44,49,57,64,23,19,20,44,49,64,57
timemania,78,22/08/2009,True,22,38,39,44,48,52,56,38,56,22,44,48,39,52
timemania,79,29/08/2009,True,02,08,37,39,46,52,80,08,80,37,46,52,39,02
timemania,80,05/09/2009,True,08,15,20,42,43,44,48,43,15,08,48,44,42,20
timemania,81,12/09/2009,True,06,07,12,15,66,68,80,66,12,07,80,15,06,68
timemania,82,19/09/2009,True,30,42,43,46,57,63,64,30,46,42,43,57,64,63
timemania,83,26/09/2009,True,11,25,28,48,52,62,78,62,28,25,52,11,78,48
timemania,84,03/10/2009,True,03,04,07,10,27,34,73,04,07,10,73,34,03,27
timemania,85,10/10/2009,True,09,17,21,36,50,64,67,50,67,09,21,17,36,64
timemania,86,17/10/2009,True,19,23,32,41,55,71,80,71,80,41,23,19,32,55
timemania,87,24/10/2009,True,11,21,25,34,37,55,72,55,21,11,37,72,34,25
timemania,88,31/10/2009,True,09,18,19,40,60,65,75,60,09,75,19,65,40,18
timemania,89,07/11/2009,True,04,08,10,41,62,72,73,41,04,08,62,72,73,10
timemania,90,14/11/2009,True,44,65,68,69,71,73,76,73,65,68,71,76,44,69
timemania,91,21/11/2009,True,05,12,17,25,52,57,76,17,05,76,12,25,57,52
timemania,92,28/11/2009,True,01,04,09,39,40,56,62,62,09,40,39,01,04,56
timemania,93,05/12/2009,True,04,08,17,30,46,47,60,46,60,47,08,17,04,30
timemania,94,12/12/2009,True,07,12,34,46,52,56,79,52,46,34,12,56,79,07
timemania,95,19/12/2009,True,13,30,34,36,67,73,74,67,34,74,73,30,36,13
timemania,96,26/12/2009,True,04,09,20,32,36,51,80,09,04,51,20,32,80,36
timemania,97,09/01/2010,True,04,15,38,40,45,60,66,60,04,45,40,15,66,38
timemania,98,16/01/2010,False,05,28,35,40,41,50,71,35,28,41,71,40,05,50
